"name","mode","type"
"D_869387390_3_3.D_478706011_3_3","NULLABLE","STRING"
"D_869387390_3_3.D_869387390_3_3","REPEATED","STRING"
"D_869387390_3_3.D_478706011_3","NULLABLE","STRING"
"D_869387390_4_4.D_478706011_4_4","NULLABLE","STRING"
"D_869387390_4_4.D_869387390_4_4","REPEATED","STRING"
"D_869387390_4_4.D_478706011_4","NULLABLE","STRING"
"D_139655599.D_206625031","NULLABLE","STRING"
"D_139655599.D_261863326","NULLABLE","STRING"
"D_367884741.D_623218391","NULLABLE","STRING"
"D_367884741.D_206625031","NULLABLE","STRING"
"D_367884741.D_802622485","NULLABLE","STRING"
"D_367884741.D_261863326","NULLABLE","STRING"
"D_207025341.D_207025341","REPEATED","STRING"
"D_207025341.D_155535868","NULLABLE","STRING"
"D_247198016.D_206625031","NULLABLE","STRING"
"D_247198016.D_261863326","NULLABLE","STRING"
"D_640010727_1_1.D_299300933_1_1","NULLABLE","STRING"
"D_640010727_1_1.D_299300933_1","NULLABLE","STRING"
"D_640010727_1_1.D_640010727_1_1","REPEATED","STRING"
"D_640010727_2_2.D_299300933_2_2","NULLABLE","STRING"
"D_640010727_2_2.D_640010727_2_2","REPEATED","STRING"
"D_640010727_2_2.D_299300933_2","NULLABLE","STRING"
"D_640010727_3_3.D_299300933_3_3","NULLABLE","STRING"
"D_640010727_3_3.D_299300933_3","NULLABLE","STRING"
"D_640010727_3_3.D_640010727_3_3","REPEATED","STRING"
"D_640010727_4_4.D_299300933_4_4","NULLABLE","STRING"
"D_640010727_4_4.D_299300933_4","NULLABLE","STRING"
"D_640010727_4_4.D_640010727_4_4","REPEATED","STRING"
"D_986275155.D_801653230","NULLABLE","STRING"
"D_986275155.D_661719912","NULLABLE","STRING"
"D_285718391.D_286149234","NULLABLE","STRING"
"D_285718391.D_750097000","NULLABLE","STRING"
"D_285718391.D_318130543","NULLABLE","STRING"
"D_836890480.D_206625031","NULLABLE","STRING"
"D_836890480.D_261863326","NULLABLE","STRING"
"D_448476881.D_206625031","NULLABLE","STRING"
"D_448476881.D_261863326","NULLABLE","STRING"
"D_915230886.D_206625031","NULLABLE","STRING"
"D_915230886.D_261863326","NULLABLE","STRING"
"D_186170949.D_206625031","NULLABLE","STRING"
"D_186170949.D_261863326","NULLABLE","STRING"
"D_628078826.D_517670352","NULLABLE","STRING"
"D_628078826.D_628078826","REPEATED","STRING"
"D_173240848.D_173240848","REPEATED","STRING"
"D_173240848.D_195093589","NULLABLE","STRING"
"D_370198527.D_206625031","NULLABLE","STRING"
"D_370198527.D_261863326","NULLABLE","STRING"
"D_489402657.D_206625031","NULLABLE","STRING"
"D_489402657.D_261863326","NULLABLE","STRING"
"D_530742915.D_530742915","REPEATED","STRING"
"D_530742915.D_739237614","NULLABLE","STRING"
"D_448722126.D_206625031","NULLABLE","STRING"
"D_448722126.D_261863326","NULLABLE","STRING"
"D_904550680.D_261863326","NULLABLE","STRING"
"D_904550680.D_206625031","NULLABLE","STRING"
"D_619481697.D_261863326","NULLABLE","STRING"
"D_619481697.D_206625031","NULLABLE","STRING"
"D_989016875.D_206625031","NULLABLE","STRING"
"D_989016875.D_261863326","NULLABLE","STRING"
"D_173101988.D_261863326","NULLABLE","STRING"
"D_173101988.D_206625031","NULLABLE","STRING"
"D_406011084.D_197994844","NULLABLE","STRING"
"D_406011084.D_261863326","NULLABLE","STRING"
"D_406011084.D_380275309","NULLABLE","STRING"
"D_406011084.D_206625031","NULLABLE","STRING"
"D_785019074.D_206625031","NULLABLE","STRING"
"D_785019074.D_261863326","NULLABLE","STRING"
"D_578895128_1_1.D_578895128_1_1","REPEATED","STRING"
"D_578895128_1_1.D_957429734_1_1","NULLABLE","STRING"
"D_578895128_1_1.D_957429734_1","NULLABLE","STRING"
