description,mode,name,type
D_850393641,NULLABLE,D_711365027.D_850393641,STRING
D_707805344,NULLABLE,D_711365027.D_707805344,STRING
D_707805344,NULLABLE,D_825227968.D_707805344,STRING
D_850393641,NULLABLE,D_825227968.D_850393641,STRING
D_257137378,NULLABLE,D_421859821.D_257137378,STRING
D_781115321,NULLABLE,D_421859821.D_781115321,STRING
D_220238240,NULLABLE,D_421859821.D_220238240,STRING
D_453071098,NULLABLE,D_421859821.D_453071098,STRING
D_151006826,NULLABLE,D_421859821.D_151006826,STRING
D_513065503,NULLABLE,D_421859821.D_513065503,STRING
D_965290070,NULLABLE,D_421859821.D_965290070,STRING
D_955609858,NULLABLE,D_981441822.D_955609858,STRING
D_354550061,NULLABLE,D_981441822.D_354550061,STRING
D_403155173,NULLABLE,D_981441822.D_403155173,STRING
D_186488870,NULLABLE,D_981441822.D_186488870,STRING
D_576621769,NULLABLE,D_981441822.D_576621769,STRING
D_179705366,NULLABLE,D_981441822.D_179705366,STRING
D_760686611,NULLABLE,D_981441822.D_760686611,STRING
D_922388461,NULLABLE,D_981441822.D_922388461,STRING
D_988508028,NULLABLE,D_981441822.D_988508028,STRING
D_765748316,NULLABLE,D_388804810.D_765748316,STRING
D_785412329,NULLABLE,D_388804810.D_785412329,STRING
D_548355426,REPEATED,D_548355426.D_548355426,STRING
D_833755477,NULLABLE,D_548355426.D_833755477,STRING
D_881200765,REPEATED,D_881200765.D_881200765,STRING
D_762700622,NULLABLE,D_881200765.D_762700622,STRING
D_668834883,REPEATED,D_668834883.D_668834883,STRING
D_640559281,NULLABLE,D_668834883.D_640559281,STRING
D_970604592,NULLABLE,D_695206943.D_970604592,STRING
D_434243220,NULLABLE,D_695206943.D_434243220,STRING
D_800943768,REPEATED,D_800943768.D_800943768,STRING
D_235516216,NULLABLE,D_800943768.D_235516216,STRING
D_263785082,REPEATED,D_263785082.D_263785082,STRING
D_542108835,NULLABLE,D_263785082.D_542108835,STRING
D_765748316,NULLABLE,D_861838892.D_765748316,STRING
D_785412329,NULLABLE,D_861838892.D_785412329,STRING
D_970604592,NULLABLE,D_129924389.D_970604592,STRING
D_434243220,NULLABLE,D_129924389.D_434243220,STRING
D_101310722,NULLABLE,D_753610471.D_101310722,STRING
D_753610471,REPEATED,D_753610471.D_753610471,STRING
D_765748316,NULLABLE,D_172234651.D_765748316,STRING
D_785412329,NULLABLE,D_172234651.D_785412329,STRING
D_101310722,NULLABLE,D_596961796.D_101310722,STRING
D_596961796,REPEATED,D_596961796.D_596961796,STRING
D_101310722,NULLABLE,D_753416375.D_101310722,STRING
D_753416375,REPEATED,D_753416375.D_753416375,STRING
D_434243220,NULLABLE,D_268372217.D_434243220,STRING
D_970604592,NULLABLE,D_268372217.D_970604592,STRING
D_434243220,NULLABLE,D_556129044.D_434243220,STRING
D_970604592,NULLABLE,D_556129044.D_970604592,STRING
D_970604592,NULLABLE,D_623759247.D_970604592,STRING
D_434243220,NULLABLE,D_623759247.D_434243220,STRING
D_863007380,NULLABLE,D_199254974.D_863007380,STRING
D_120485458,NULLABLE,D_199254974.D_120485458,STRING
D_765748316,NULLABLE,D_234177873.D_765748316,STRING
D_785412329,NULLABLE,D_234177873.D_785412329,STRING
D_101310722,NULLABLE,D_799338907.D_101310722,STRING
D_799338907,REPEATED,D_799338907.D_799338907,STRING
D_765748316,NULLABLE,D_731790154.D_765748316,STRING
D_785412329,NULLABLE,D_731790154.D_785412329,STRING
D_101310722,NULLABLE,D_550092533.D_101310722,STRING
D_550092533,REPEATED,D_550092533.D_550092533,STRING
D_765748316,NULLABLE,D_694817520.D_765748316,STRING
D_785412329,NULLABLE,D_694817520.D_785412329,STRING
D_101310722,NULLABLE,D_991622246.D_101310722,STRING
D_991622246,REPEATED,D_991622246.D_991622246,STRING
D_629010195,REPEATED,D_629010195.D_629010195,STRING
D_654253676,NULLABLE,D_629010195.D_654253676,STRING
D_970604592,NULLABLE,D_101144925.D_970604592,STRING
D_434243220,NULLABLE,D_101144925.D_434243220,STRING
D_970604592,NULLABLE,D_899455852.D_970604592,STRING
D_434243220,NULLABLE,D_899455852.D_434243220,STRING
D_970604592,NULLABLE,D_358011592.D_970604592,STRING
D_434243220,NULLABLE,D_358011592.D_434243220,STRING
D_785412329,NULLABLE,D_614446276.D_785412329,STRING
D_765748316,NULLABLE,D_614446276.D_765748316,STRING
D_765748316,NULLABLE,D_745223146.D_765748316,STRING
D_785412329,NULLABLE,D_745223146.D_785412329,STRING
D_850202336,NULLABLE,D_850202336.D_850202336,STRING
D_526448646,NULLABLE,D_850202336.D_526448646,STRING
D_101310722,NULLABLE,D_646042915.D_101310722,STRING
D_646042915,REPEATED,D_646042915.D_646042915,STRING
D_101310722,NULLABLE,D_273218182.D_101310722,STRING
D_273218182,REPEATED,D_273218182.D_273218182,STRING
D_434243220,NULLABLE,D_984901301.D_434243220,STRING
D_970604592,NULLABLE,D_984901301.D_970604592,STRING
D_101310722,NULLABLE,D_618427836.D_101310722,STRING
D_618427836,REPEATED,D_618427836.D_618427836,STRING
D_765748316,NULLABLE,D_266752903.D_765748316,STRING
D_785412329,NULLABLE,D_266752903.D_785412329,STRING
D_765748316,NULLABLE,D_416865817.D_765748316,STRING
D_785412329,NULLABLE,D_416865817.D_785412329,STRING
D_101310722,NULLABLE,D_803968511.D_101310722,STRING
D_803968511,REPEATED,D_803968511.D_803968511,STRING
D_970604592,NULLABLE,D_139348254.D_970604592,STRING
D_434243220,NULLABLE,D_139348254.D_434243220,STRING
D_101310722,NULLABLE,D_438682764.D_101310722,STRING
D_438682764,REPEATED,D_438682764.D_438682764,STRING
D_785412329,NULLABLE,D_697661603.D_785412329,STRING
D_765748316,NULLABLE,D_697661603.D_765748316,STRING
D_970604592,NULLABLE,D_824251330.D_970604592,STRING
D_434243220,NULLABLE,D_824251330.D_434243220,STRING
D_825189914,REPEATED,D_825189914.D_825189914,STRING
D_101310722,NULLABLE,D_825189914.D_101310722,STRING
D_970604592,NULLABLE,D_535533643.D_970604592,STRING
D_434243220,NULLABLE,D_535533643.D_434243220,STRING
D_765748316,NULLABLE,D_837412550.D_765748316,STRING
D_785412329,NULLABLE,D_837412550.D_785412329,STRING
D_434243220,NULLABLE,D_946710366.D_434243220,STRING
D_970604592,NULLABLE,D_946710366.D_970604592,STRING
D_970604592,NULLABLE,D_604086099.D_970604592,STRING
D_434243220,NULLABLE,D_604086099.D_434243220,STRING
D_434243220,NULLABLE,D_745775718.D_434243220,STRING
D_970604592,NULLABLE,D_745775718.D_970604592,STRING
D_434243220,NULLABLE,D_597869478.D_434243220,STRING
D_597869478_num,NULLABLE,D_597869478.D_597869478_num,STRING
D_434243220,NULLABLE,D_305195766.D_434243220,STRING
D_970604592,NULLABLE,D_305195766.D_970604592,STRING
D_970604592,NULLABLE,D_578176688.D_970604592,STRING
D_434243220,NULLABLE,D_578176688.D_434243220,STRING
D_434243220,NULLABLE,D_654271781.D_434243220,STRING
D_970604592,NULLABLE,D_654271781.D_970604592,STRING
D_893965588,REPEATED,D_893965588.D_893965588,STRING
D_101310722,NULLABLE,D_893965588.D_101310722,STRING
D_765748316,NULLABLE,D_248599913.D_765748316,STRING
D_785412329,NULLABLE,D_248599913.D_785412329,STRING
